,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,annotation,interaction_name_2,evidence,is_neurotransmitter,ligand.symbol,ligand.family,ligand.location,ligand.keyword,ligand.secreted_type,ligand.transmembrane,receptor.symbol,receptor.family,receptor.location,receptor.keyword,receptor.surfaceome_main,receptor.surfaceome_sub,receptor.adhesome,receptor.secreted_type,receptor.transmembrane,version
Glutamate-Glu-SLC1A7_GLS2_GRIK2_GRIK4,Glutamate-Glu-SLC1A7_GLS2_GRIK2_GRIK4,Glutamate,Glu-SLC1A7_GLS2,GRIK2_GRIK4,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - (GRIK2+GRIK4),PMID: 24155668;PMID: 31776169;PMID: 32594024,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,"GRIK2, GRIK4",Glutamate-gated ion channel (TC 1.A.10.1),"Postsynaptic cell membrane, Cell membrane","Membrane, Intellectual disability, Disulfide bond, Transmembrane, Ion channel, Receptor, RNA editing, Alternative splicing, Ion transport, Glycoprotein, Disease variant, Signal, Reference proteome, Cell membrane, Transmembrane helix, Epilepsy, Phosphoprotein, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, Isopeptide bond, 3D-structure, Ubl conjugation",Transporters,Channels;Glutamate;Ligand_gated_ion_channels,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRIK2_GRIK5,Glutamate-Glu-SLC1A7_GLS2_GRIK2_GRIK5,Glutamate,Glu-SLC1A7_GLS2,GRIK2_GRIK5,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - (GRIK2+GRIK5),PMID: 24155668;PMID: 31776169;PMID: 32594024,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,"GRIK5, GRIK2",Glutamate-gated ion channel (TC 1.A.10.1),"Postsynaptic cell membrane, Cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Ion transport, Glycoprotein, Signal, Reference proteome, Cell membrane, Transmembrane helix, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, Intellectual disability, RNA editing, Disease variant, Epilepsy, Phosphoprotein, Isopeptide bond, 3D-structure, Ubl conjugation",Transporters,Channels;Glutamate;Ligand_gated_ion_channels,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRIK3,Glutamate-Glu-SLC1A7_GLS2_GRIK3,Glutamate,Glu-SLC1A7_GLS2,GRIK3,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - GRIK3,PMID: 24155668;PMID: 14612154,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,GRIK3,Glutamate-gated ion channel (TC 1.A.10.1),"Postsynaptic cell membrane, Cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, RNA editing, Alternative splicing, Ion transport, Glycoprotein, Signal, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, Isopeptide bond, Ubl conjugation",Transporters,Channels;Glutamate;Ligand_gated_ion_channels,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRIK3_GRIK4,Glutamate-Glu-SLC1A7_GLS2_GRIK3_GRIK4,Glutamate,Glu-SLC1A7_GLS2,GRIK3_GRIK4,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - (GRIK3+GRIK4),PMID: 24155668;PMID: 31776169;PMID: 32594024,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,"GRIK3, GRIK4",Glutamate-gated ion channel (TC 1.A.10.1),"Postsynaptic cell membrane, Cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, RNA editing, Alternative splicing, Ion transport, Glycoprotein, Signal, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, Isopeptide bond, Ubl conjugation",Transporters,Channels;Glutamate;Ligand_gated_ion_channels,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRIK3_GRIK5,Glutamate-Glu-SLC1A7_GLS2_GRIK3_GRIK5,Glutamate,Glu-SLC1A7_GLS2,GRIK3_GRIK5,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - (GRIK3+GRIK5),PMID: 24155668;PMID: 31776169;PMID: 32594024,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,"GRIK3, GRIK5",Glutamate-gated ion channel (TC 1.A.10.1),"Postsynaptic cell membrane, Cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, RNA editing, Alternative splicing, Ion transport, Glycoprotein, Signal, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, Isopeptide bond, Ubl conjugation",Transporters,Channels;Glutamate;Ligand_gated_ion_channels,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRIN1_GRIN2A,Glutamate-Glu-SLC1A7_GLS2_GRIN1_GRIN2A,Glutamate,Glu-SLC1A7_GLS2,GRIN1_GRIN2A,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - (GRIN1+GRIN2A),PMID: 24155668;PMID: 31776169;PMID: 32594024,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,"GRIN1, GRIN2A",Glutamate-gated ion channel (TC 1.A.10.1),"Postsynaptic density, Postsynaptic cell membrane, Cell membrane, Cell projection, Cytoplasmic vesicle membrane, Synapse, Dendritic spine","Membrane, Intellectual disability, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Ion transport, Glycoprotein, Disease variant, Signal, Reference proteome, Cell membrane, Transmembrane helix, Epilepsy, Phosphoprotein, Transport, Calcium, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, 3D-structure, Magnesium, Cytoplasmic vesicle, Cell projection, Chromosomal rearrangement, Metal-binding, Zinc",Transporters,Channels;Glutamate;Ligand_gated_ion_channels,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRIN1_GRIN2B,Glutamate-Glu-SLC1A7_GLS2_GRIN1_GRIN2B,Glutamate,Glu-SLC1A7_GLS2,GRIN1_GRIN2B,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - (GRIN1+GRIN2B),PMID: 24155668;PMID: 31776169;PMID: 32594024,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,"GRIN1, GRIN2B",Glutamate-gated ion channel (TC 1.A.10.1),"Postsynaptic density, Postsynaptic cell membrane, Cell membrane, Cytoplasm, Late endosome, Lysosome, Cytoskeleton","Membrane, Intellectual disability, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Ion transport, Glycoprotein, Disease variant, Signal, Reference proteome, Cell membrane, Transmembrane helix, Epilepsy, Phosphoprotein, Transport, Calcium, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, 3D-structure, Magnesium, Cytoplasm, Lysosome, Chromosomal rearrangement, Metal-binding, Cytoskeleton, Zinc, Endosome",Transporters,Channels;Glutamate;Ligand_gated_ion_channels,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRIN1_GRIN2C,Glutamate-Glu-SLC1A7_GLS2_GRIN1_GRIN2C,Glutamate,Glu-SLC1A7_GLS2,GRIN1_GRIN2C,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - (GRIN1+GRIN2C),PMID: 24155668;PMID: 31776169;PMID: 32594024,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,"GRIN2C, GRIN1",Glutamate-gated ion channel (TC 1.A.10.1),"Postsynaptic cell membrane, Cell membrane, Postsynaptic density","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, Ion transport, Glycoprotein, Signal, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Transport, Calcium, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, Magnesium, Intellectual disability, Alternative splicing, Disease variant, Epilepsy, 3D-structure",Transporters,Channels;Glutamate;Ligand_gated_ion_channels,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRIN1_GRIN2D,Glutamate-Glu-SLC1A7_GLS2_GRIN1_GRIN2D,Glutamate,Glu-SLC1A7_GLS2,GRIN1_GRIN2D,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - (GRIN1+GRIN2D),PMID: 24155668;PMID: 31776169;PMID: 32594024,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,"GRIN1, GRIN2D",Glutamate-gated ion channel (TC 1.A.10.1),"Postsynaptic density, Postsynaptic cell membrane, Cell membrane","Membrane, Intellectual disability, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Ion transport, Glycoprotein, Disease variant, Signal, Reference proteome, Cell membrane, Transmembrane helix, Epilepsy, Phosphoprotein, Transport, Calcium, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, 3D-structure, Magnesium, Methylation",Transporters,Channels;Glutamate;Ligand_gated_ion_channels,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRM1,Glutamate-Glu-SLC1A7_GLS2_GRM1,Glutamate,Glu-SLC1A7_GLS2,GRM1,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - GRM1,PMID: 24155668;PMID: 14612154,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,GRM1,G-protein coupled receptor 3,Cell membrane,"Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Transducer, Disease variant, Signal, Reference proteome, Neurodegeneration, Cell membrane, Transmembrane helix, Phosphoprotein, Spinocerebellar ataxia, G-protein coupled receptor, 3D-structure",Receptors,GPCR;Glutamate,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRM2,Glutamate-Glu-SLC1A7_GLS2_GRM2,Glutamate,Glu-SLC1A7_GLS2,GRM2,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - GRM2,PMID: 24155668;PMID: 14612154,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,GRM2,G-protein coupled receptor 3,"Synapse, Dendrite, Cell projection, Cell membrane","Transducer, Cell projection, Membrane, Signal, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, Synapse, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Glutamate,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRM3,Glutamate-Glu-SLC1A7_GLS2_GRM3,Glutamate,Glu-SLC1A7_GLS2,GRM3,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - GRM3,PMID: 24155668;PMID: 14612154,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,GRM3,G-protein coupled receptor 3,Cell membrane,"Transducer, Membrane, Signal, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, Alternative splicing, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Glutamate,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRM4,Glutamate-Glu-SLC1A7_GLS2_GRM4,Glutamate,Glu-SLC1A7_GLS2,GRM4,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - GRM4,PMID: 24155668;PMID: 14612154,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,GRM4,G-protein coupled receptor 3,Cell membrane,"Transducer, Membrane, Signal, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, Alternative splicing, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Glutamate,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRM5,Glutamate-Glu-SLC1A7_GLS2_GRM5,Glutamate,Glu-SLC1A7_GLS2,GRM5,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - GRM5,PMID: 24155668;PMID: 14612154,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,GRM5,G-protein coupled receptor 3,Cell membrane,"Transducer, Membrane, Signal, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, Alternative splicing, G-protein coupled receptor, 3D-structure, Methylation, Glycoprotein",Receptors,GPCR;Glutamate,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRM6,Glutamate-Glu-SLC1A7_GLS2_GRM6,Glutamate,Glu-SLC1A7_GLS2,GRM6,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - GRM6,PMID: 24155668;PMID: 14612154,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,GRM6,G-protein coupled receptor 3,"Endoplasmic reticulum membrane, Cell projection, Golgi apparatus membrane, Dendrite, Cell membrane","Membrane, Disulfide bond, Transmembrane, Receptor, Sensory transduction, Endoplasmic reticulum, Glycoprotein, Transducer, Disease variant, Vision, Cell projection, Signal, Reference proteome, Cell membrane, Transmembrane helix, Golgi apparatus, G-protein coupled receptor, Congenital stationary night blindness",Receptors,GPCR;Glutamate,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRM7,Glutamate-Glu-SLC1A7_GLS2_GRM7,Glutamate,Glu-SLC1A7_GLS2,GRM7,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - GRM7,PMID: 24155668;PMID: 14612154,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,GRM7,G-protein coupled receptor 3,Cell membrane,"Membrane, Intellectual disability, Disulfide bond, Transmembrane, Receptor, Sensory transduction, Alternative splicing, Glycoprotein, Transducer, Disease variant, Signal, Reference proteome, Cell membrane, Transmembrane helix, Epilepsy, Phosphoprotein, Cardiomyopathy, G-protein coupled receptor, 3D-structure",Receptors,GPCR;Glutamate,,,TRUE,CellChatDB v2
Glutamate-Glu-SLC1A7_GLS2_GRM8,Glutamate-Glu-SLC1A7_GLS2_GRM8,Glutamate,Glu-SLC1A7_GLS2,GRM8,,,,,Non-protein Signaling,Glu-(SLC1A7+GLS2) - GRM8,PMID: 24155668;PMID: 14612154,TRUE,"GLS2, SLC1A7","Glutaminase, Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23)","Mitochondrion, Photoreceptor inner segment membrane, Synaptic cell membrane","Transit peptide, ANK repeat, Hydrolase, Reference proteome, Mitochondrion, Alternative splicing, 3D-structure, Acetylation, Repeat, Membrane, Cell membrane, Transmembrane helix, Transmembrane, Transport, Synapse, Symport, Glycoprotein",,TRUE,GRM8,G-protein coupled receptor 3,Cell membrane,"Membrane, Disulfide bond, Transmembrane, Receptor, Sensory transduction, Alternative splicing, Glycoprotein, Transducer, Signal, Reference proteome, Cell membrane, Transmembrane helix, G-protein coupled receptor, Isopeptide bond, 3D-structure, Ubl conjugation",Receptors,GPCR;Glutamate,,,TRUE,CellChatDB v2
Glycine-Gly-SHMT1_SLC6A5_GLRA1_GLRB,Glycine-Gly-SHMT1_SLC6A5_GLRA1_GLRB,Glycine,Gly-SHMT1_SLC6A5,GLRA1_GLRB,,,,,Non-protein Signaling,Gly-(SHMT1+SLC6A5) - (GLRA1+GLRB),PMID: 9131721,TRUE,"SLC6A5, SHMT1","Sodium:neurotransmitter symporter (SNF) (TC 2.A.22), SHMT","Cell membrane, Cytoplasm","Disease variant, Membrane, Sodium, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Disulfide bond, Metal-binding, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Symport, Glycoprotein, Pyridoxal phosphate, Cytoplasm, 3D-structure, One-carbon metabolism, Transferase, Acetylation",,FALSE,"GLRA1, GLRB",Ligand-gated ion channel (TC 1.A.9),"Synapse, Postsynaptic cell membrane, Cell projection, Cell membrane","Chloride channel, Membrane, Intellectual disability, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Chloride, Ion transport, Glycoprotein, Disease variant, Cell projection, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, Zinc, 3D-structure",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,TRUE,CellChatDB v2
Glycine-Gly-SHMT1_SLC6A5_GLRA2,Glycine-Gly-SHMT1_SLC6A5_GLRA2,Glycine,Gly-SHMT1_SLC6A5,GLRA2,,,,,Non-protein Signaling,Gly-(SHMT1+SLC6A5) - GLRA2,PMID: 9131721,TRUE,"SLC6A5, SHMT1","Sodium:neurotransmitter symporter (SNF) (TC 2.A.22), SHMT","Cell membrane, Cytoplasm","Disease variant, Membrane, Sodium, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Disulfide bond, Metal-binding, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Symport, Glycoprotein, Pyridoxal phosphate, Cytoplasm, 3D-structure, One-carbon metabolism, Transferase, Acetylation",,FALSE,GLRA2,Ligand-gated ion channel (TC 1.A.9),"Synapse, Postsynaptic cell membrane, Cell projection, Cell membrane","Chloride channel, Membrane, Intellectual disability, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Chloride, Ion transport, Glycoprotein, Disease variant, Cell projection, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, Zinc, 3D-structure",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,TRUE,CellChatDB v2
Glycine-Gly-SHMT1_SLC6A9_GLRA1_GLRB,Glycine-Gly-SHMT1_SLC6A9_GLRA1_GLRB,Glycine,Gly-SHMT1_SLC6A9,GLRA1_GLRB,,,,,Non-protein Signaling,Gly-(SHMT1+SLC6A9) - (GLRA1+GLRB),PMID: 9131721,TRUE,"SHMT1, SLC6A9","SHMT, Sodium:neurotransmitter symporter (SNF) (TC 2.A.22)","Cytoplasm, Cell membrane","Reference proteome, Pyridoxal phosphate, Cytoplasm, Alternative splicing, 3D-structure, One-carbon metabolism, Transferase, Acetylation, Disease variant, Membrane, Cell membrane, Transmembrane helix, Phosphoprotein, Transmembrane, Transport, Amino-acid transport, Neurotransmitter transport, Symport",,FALSE,"GLRA1, GLRB",Ligand-gated ion channel (TC 1.A.9),"Synapse, Postsynaptic cell membrane, Cell projection, Cell membrane","Chloride channel, Membrane, Intellectual disability, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Chloride, Ion transport, Glycoprotein, Disease variant, Cell projection, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, Zinc, 3D-structure",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,TRUE,CellChatDB v2
Glycine-Gly-SHMT1_SLC6A9_GLRA2,Glycine-Gly-SHMT1_SLC6A9_GLRA2,Glycine,Gly-SHMT1_SLC6A9,GLRA2,,,,,Non-protein Signaling,Gly-(SHMT1+SLC6A9) - GLRA2,PMID: 9131721,TRUE,"SHMT1, SLC6A9","SHMT, Sodium:neurotransmitter symporter (SNF) (TC 2.A.22)","Cytoplasm, Cell membrane","Reference proteome, Pyridoxal phosphate, Cytoplasm, Alternative splicing, 3D-structure, One-carbon metabolism, Transferase, Acetylation, Disease variant, Membrane, Cell membrane, Transmembrane helix, Phosphoprotein, Transmembrane, Transport, Amino-acid transport, Neurotransmitter transport, Symport",,FALSE,GLRA2,Ligand-gated ion channel (TC 1.A.9),"Synapse, Postsynaptic cell membrane, Cell projection, Cell membrane","Chloride channel, Membrane, Intellectual disability, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Chloride, Ion transport, Glycoprotein, Disease variant, Cell projection, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, Zinc, 3D-structure",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,TRUE,CellChatDB v2
Glycine-Gly-SHMT2_SLC6A5_GLRA1_GLRB,Glycine-Gly-SHMT2_SLC6A5_GLRA1_GLRB,Glycine,Gly-SHMT2_SLC6A5,GLRA1_GLRB,,,,,Non-protein Signaling,Gly-(SHMT2+SLC6A5) - (GLRA1+GLRB),PMID: 9131721,TRUE,"SLC6A5, SHMT2","Sodium:neurotransmitter symporter (SNF) (TC 2.A.22), SHMT","Cell membrane, Mitochondrion inner membrane, Cytoplasm, Nucleus, Mitochondrion matrix, Mitochondrion, Mitochondrion nucleoid","Disease variant, Membrane, Sodium, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Disulfide bond, Metal-binding, Transmembrane, Transport, Alternative splicing, Neurotransmitter transport, Symport, Glycoprotein, Intellectual disability, Pyridoxal phosphate, Mitochondrion, Mitochondrion inner membrane, Cytoplasm, One-carbon metabolism, Transferase, Transit peptide, Nucleus, Cardiomyopathy, Mitochondrion nucleoid, 3D-structure, Acetylation",,FALSE,"GLRA1, GLRB",Ligand-gated ion channel (TC 1.A.9),"Synapse, Postsynaptic cell membrane, Cell projection, Cell membrane","Chloride channel, Membrane, Intellectual disability, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Chloride, Ion transport, Glycoprotein, Disease variant, Cell projection, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, Zinc, 3D-structure",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,TRUE,CellChatDB v2
